Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
2017,Mayhem,American,Joe Lynch,"Joe Lynch (director); Matias Caruso (screenplay); Steven Yeun, Samara Weaving, Steven Brand, Caroline Chikezie, Kerry Fox, Dallas Roberts","action, horror, comedy",https://en.wikipedia.org/wiki/Mayhem_(film),"Derek Cho, the film's protagonist, tells the audience about the ID-7 virus, or ""Red Eye"" virus, that has been spreading throughout the world. It infects neural pathways, removing all inhibition and moral integrity, and in turn, causing people to act out their darkest impulses. While the virus is not lethal, those infected by the virus may find themselves driven to kill. The first known case of murder driven by ID-7 was committed by Nevil Reed, who stabbed a coworker, but was not deemed liable due to the influence of the virus. Derek, a lawyer at Towers and Smythe Consulting, works for the firm that handled Reed's case; he began his job full of optimism, but ended up back-stabbing, cheating, and finding loophole after loophole in order to work his way up the corporate ladder and get a corner office.
One morning, Derek goes into work to find that his favorite mug is missing, and meets with a furious client - Melanie Cross - who needs more time on a loan, but thinks he's unable to help her. After discovering that a bungled legal case for massive company Vandacorp has been pinned on him by his superior Cara (called ""The Siren"", as she always has the boss's ear), Derek confronts her and finds that she has taken his mug. They go up to their boss John Towers' office to plead their cases, but Cara wins the boss over and has Derek laid off. Derek's friend Ewan is unable to help him, and he is given official notice of his firing by his coworker ""The Reaper"". Derek takes his things and is escorted downstairs by company security, dejected and afraid of being disbarred.
When Derek reaches the ground floor, he and the security guards find that the building is under quarantine; the ID-7 virus has been detected in the ventilation system. CDC agents have released a neutralizing agent into the building, estimating that it will take eight hours for the virus to be obliterated. Derek, realizing he's infected by the virus and will not be liable for anything he does, attacks the security guards and storms into the elevator, intending to get upstairs and kill his boss; however, he's sent down to the basement and beaten up by Towers' enforcer, ""The Bull"". The Bull kills Ewan by mistake, infuriating Derek further.
Derek is thrown into an empty office with Melanie, who is also infected. After Derek manages to get a phone call out to Vandacorp and ensure his innocence in the mis-handled case, the two decide to work together, break out of the basement, and kill the people on the top floor responsible for their respective bad situations. They first go up to The Reaper and kill two security guards to get to him, witnessing general mayhem along the way. The Reaper gives them his key card, but attacks Melanie, who kills him with a power saw. Derek and Melanie use the key card to get up to The Siren's office and take down an army of coworkers defending her. The Siren asks her long-suffering assistant Meg to get the key card for her, but Meg has destroyed it in a microwave, having been offered a promotion from upstairs to betray The Siren. Her work done, Meg kills The Siren with a pair of scissors, and Derek and Melanie go down to IT to come up with another plan to get up to the top floor.
Derek and Melanie convince the company's one IT worker to hack their other boss Irene Smythe's computer to get her to come down; Smythe is the one who denied Melanie the extension on her loan. Smythe agrees to give Derek her key card in exchange for Melanie. Derek agrees and restrains Melanie, but undoes the bolts on the chair Melanie is fastened to, allowing her to kill Irene and escape. On the top floor, Towers offers Derek a full partnership if he gives up his revenge mission. Derek refuses and fights his boss; the company's board of directors give him permission to kill Towers, and Derek shoves him over a railing, sending him falling from the penthouse to the ground and his death just as the quarantine is lifted and the virus is eradicated.
Derek takes a higher position in the firm for just long enough to sign off on the extension on Melanie's loan, then quits the company and takes up painting with Melanie. He advises the audience to take control of their own lives before it's too late, accompanied by a shot of Towers' body hitting the ground with a splat."
2017,Justice League,American,Zack Snyder,"Zack Snyder (director); Chris Terrio, Joss Whedon (screenplay); Ben Affleck, Henry Cavill, Gal Gadot, Jason Momoa, Ezra Miller, Ray Fisher, Amy Adams, Jesse Eisenberg, Amber Heard, Jeremy Irons, J. K. Simmons, Willem Dafoe, Julian Lewis Jones, Ciarán Hinds","superhero, action, adventure, fantasy, sci-fi",https://en.wikipedia.org/wiki/Justice_League_(film),"Thousands of years ago, Steppenwolf and his legions of Parademons attempt to take over Earth with the combined energies of three Mother Boxes. They are foiled by a unified army that includes the Olympian Gods, Amazons, Atlanteans, mankind, and the Green Lantern Corps. After repelling Steppenwolf's army, the Mother Boxes are separated and hidden in locations on the planet. In the present, mankind is in mourning over Superman, whose death triggers the Mother Boxes to reactivate and Steppenwolf's return to Earth in an effort to regain favor with his master, Darkseid. Steppenwolf aims to gather the artifacts to form ""The Unity"", which will destroy Earth's ecology and terraform it in the image of Steppenwolf's homeworld.
Steppenwolf retrieves the Mother Box from Themyscira, prompting Queen Hippolyta to warn her daughter Diana of Steppenwolf's return. Diana joins Bruce Wayne in his attempt to unite other metahumans to their cause, with Wayne going after Arthur Curry and Barry Allen, while Diana tries to locate Victor Stone. Wayne fails to persuade Curry, but manages to recruit an enthusiastic Allen onto the team. Although Diana fails to convince Stone to join, he agrees to help them locate the threat if he discovers their location. Stone later joins the team after his father Silas, along with several other S.T.A.R. Labs employees, is kidnapped by Steppenwolf seeking to acquire the Mother Box from mankind.
Steppenwolf attacks Atlantis to retrieve the next Mother Box, forcing Curry into action. The team receives intel from Commissioner James Gordon leading them to Steppenwolf's army, based in an abandoned facility under Gotham Harbor. Although the group manages to rescue the kidnapped employees, the facility is flooded during combat, which traps the team until Curry helps delay the flood so they can escape. Stone retrieves the last Mother Box, which he had hidden, for the group to analyze. Stone reveals that his father used the Mother Box to rebuild Stone's body after an accident almost cost him his life. Facing overwhelming odds against Steppenwolf's army, Wayne decides to use the Mother Box to resurrect Superman, not only to help them fight off Steppenwolf's invasion, but also to restore hope to mankind. Diana and Curry are hesitant about the idea, but Wayne forms a secret contingency plan in case Superman returns as a nemesis.
Clark Kent's body is exhumed and placed in the amniotic fluid of the genesis chamber of the Kryptonian ship alongside the Mother Box, which in turn activates and successfully resurrects Superman. However, Superman's memories have not returned, and he attacks the group after Stone accidentally launches a projectile at him. On the verge of being killed by Superman, Batman enacts his contingency plan: Lois Lane. Superman calms down and leaves with Lane to his family home in Smallville, where he reflects and attempts to recover his memories. With the final Mother Box unguarded, Steppenwolf retrieves it with ease. Without Superman to aid them, the five heroes travel to a village in Russia where Steppenwolf aims to unite the Mother Boxes once again and remake Earth. The team fights their way through the Parademons to reach Steppenwolf, although they are unable to distract him enough for Stone to separate the Mother boxes. Superman arrives and assists Allen in evacuating the city, as well as Stone in separating the Mother Boxes. The team defeats Steppenwolf, who, overcome with fear, is attacked by his own Parademons before they all teleport away.
In the aftermath of the battle, Bruce and Diana agree to set up a base of operations for the team, with room for more members. Diana steps back into the public spotlight as a hero; Barry acquires a job in Central City's police department, impressing his father; Victor continues to explore and enhance his abilities with his father in S.T.A.R. Labs; Arthur returns to Atlantis; and Superman resumes his life as reporter Clark Kent. In a post-credits scene, Lex Luthor escapes from Arkham Asylum and recruits Slade Wilson to form their own league."
2017,The Star,American,Timothy Reckart,"Timothy Reckart (director); Tom Sheridan (screenplay); Steven Yeun, Gina Rodriguez, Zachary Levi, Keegan-Michael Key, Kelly Clarkson, Patricia Heaton, Kristin Chenoweth, Tracy Morgan, Tyler Perry, Oprah Winfrey","animation, adventure, comedy",https://en.wikipedia.org/wiki/The_Star_(2017_film),"In ""9 months B.C."", Mary is visited by an angel telling her she will bear the Messiah. A pygmy jerboa named Abby overhears and tells the other animals as a star begins glowing brightly in the night.
Six months later, a young donkey is tired of milling wheat and wishes to join a traveling caravan so that he may feel important. An older donkey helps him escape the miller who owns them and he ends up with an injured ankle at the house of Joseph and Mary who just celebrated their wedding. Mary takes the donkey in and names him Boaz, or Bo, and reveals to Joseph that she is pregnant, with Joseph accepting Mary's situation after praying to God. During this time, Bo and his dove friend Dave, plot to escape despite Mary's kindness, but end up staying three more months.
Meanwhile, the three wise men and their camels, Felix, Cyrus and Deborah, arrive at the home of King Herod. The wise men reveal their gifts of gold, frankincense and myrrh, but when they reveal that it is for the ""new King"", he sends them on their way to meet him, but secretly sends his head soldier and his two dogs, Thaddeus and Rufus, to find and kill the new King.
As Joseph and Mary leave Nazareth in order to head to Bethlehem, Bo and Dave try another escape, but are confronted by Thaddeus and Rufus, who knew of the home by interrogating Abby. After learning that Joseph and Mary are not home, the soldier and his dogs leave to look for them. Feeling guilty, Bo decides to warn them with Dave joining him. Along the way they meet a friendly sheep named Ruth who left her flock when she saw the star. They catch up to Joseph and Mary in time to warn them, and hide them in a market place where the soldier ties up his dogs. Bo releases the cart Joseph and Mary were using to roll down and cause a chain reaction that knocks the soldier down a well. However, he creates severe damage to the market in the process, and Joseph, unaware of the danger, berates Bo for his actions.
Upset with being rejected, Bo leaves and Dave follows until they arrive at the caravan. While happy to have found it, Bo realizes that he liked being with Mary and tells Dave, who admits that he isn't upset and that he just wants Bo to be happy with his decision. Together, the two return and make up with Ruth, and then convince a frustrated Joseph to talk to Mary. Mary admits that it has been difficult for her and that she is scared of the importance of the baby, and Joseph and she make up when the latter begins having contractions. They arrive at Bethlehem where Joseph can't find an inn for Mary. The miller, who just so happened to be there, kidnaps Bo with Dave and Ruth leaving to rescue him. The wise men arrive as well, but the camels, who are aware of Herod's plot, are left tied to a post.
Bo ends up in a barn where he meets a horse named Leah, a cow named Edith, and a goat named Zach. They reveal that they haven't been able to sleep because the star's bright light has been shining through on their manger. Realizing that this is where the baby is supposed to be, the animals help Bo escape and he catches up with Dave and Ruth while spotting the soldier and his dogs. Bo finds Joseph and Mary and gets them back to the manger while Dave runs into Cyrus, Felix and Deborah and helps them escape. Ruth finds her flock (who had previously refused to follow her), and tries to convince them to help, but gets unexpected help from the angel who informs the shepherds and the sheep that the Savior is coming. Bo manages to fight off Thaddeus and Rufus, but is outdone by the soldier. Suddenly, Ruth and her flock, the camels and Dave arrive and dispatch with them by having them hang from a cliff. The soldier lets his dogs fall, but they are saved by Bo and the soldier himself falls to his death.
All of the animals (who are now joined by Abby, who assumed the danger to be ongoing), shepherds, and three wise men arrive to see baby Jesus, and Bo realises that he has been carrying the new King the whole time. Deborah predicts that this event will be remembered around the world for years to come.
During the credits, it is shown that Joseph buys Bo from the miller and Bo helps him and Mary raise Jesus."
2017,Wonder,American,Stephen Chbosky,"Stephen Chbosky (director/screenplay); Steve Conrad, Jack Thorne (screenplay); Julia Roberts, Jacob Tremblay, Owen Wilson, Mandy Patinkin",drama,https://en.wikipedia.org/wiki/Wonder_(film),"August ""Auggie"" Pullman is a young boy raised in North River Heights in upper Manhattan, New York. He has a rare medical facial deformity, which he refers to as ""mandibulofacial dysostosis."" Due to numerous surgeries (27), Auggie had been home-schooled by his parents Isabel and Nate, but as Auggie is approaching middle school age, Isabel and Nate decide to send him to Beecher Prep, a mainstream private school. Fifth grade is tough for Auggie who is ostracized by nearly all the student body. He is bullied by being called a freak and rumors were spread that kids will get the ""plague"" if they touch him. He does befriend a boy named Jack Will.
Halloween is Auggie's favorite holiday. He has to wear an old ""Ghostface"" mask and costume because his dog, Daisy, threw up on his ""Boba Fett"" costume. He walks around school unrecognized and is not tormented while incognito. As he walks through the door to his homeroom, he overhears his friend Jack telling Julian Albans that he was ""only pretending to be friends with Auggie."" Feeling betrayed, Auggie leaves school and wants to stay home during trick-or-treating. His older sister Olivia, nicknamed ""Via,"" tells him she is still his friend and talks him out of it. Auggie later confides the incident to a new friend, named Summer, but swears her to secrecy. When Jack notices that Auggie has become quiet and distant he asks Summer why, but she only gives him the clue ""Ghost Face"". Jack is shocked when it dawns on him that it was Auggie wearing the Ghost Face costume, and thus had overheard everything he said to Julian. When Julian calls Auggie a ""freak,"" Jack angrily punches him in the face and a fight ensues between the two, which is soon broken up by their homeroom teacher Mr. Browne. Jack is suspended for two days for his actions. He apologizes to Auggie and the two friends reconcile. They even team up for a winning science project.
During the middle of the school year, Auggie is constantly bullied by Julian and his friends Amos, Miles, and Henry. They leave hurtful and threatening notes on his desk and tape their class picture on his locker with Auggie photoshopped out. Mr. Tushman confronts Julian and his parents. Julian's mother assures the principal that her boy is no bully. She even proclaims that she had Auggie edited out of the picture because she didn't want people to only care about Auggie and his family more than Julian. She also threatens to pull their funding from the school. Tushman shows all of his evidence and suspends Julian for two days, along with making him stay home from the annual nature retreat. As he and his parents leave, a remorseful Julian apologizes to Tushman for his behavior which the principal proudly accepts.
Via has her own teen problems as well as feeling left out with all of the parental attention given to her sick brother. Her best friend, Miranda, has been ignoring her all year but she meets a new boy Justin who encourages her to join Drama Club. Via and Justin develop a close friendship which later turns into a romantic relationship and her first kiss. Via is selected to be an understudy for the lead role in the school's production of ""Our Town,"" but Miranda gets the lead role. Miranda realizes the pain and harm she's done to Via, and on opening night pretends to fall ill. Via takes her place and gives a performance that earns her a standing ovation.
During the nature retreat, Auggie and Jack are harassed by a group of seventh graders from another school and Amos, Miles, and Henry come to their defense. After their return to school, Auggie is generally more accepted by his classmates, including the reformed Julian. At the school's year end graduation ceremony, Tushman announces that Auggie has been selected for the Henry Ward Beecher Medal for being a strong standing out student. Auggie receives a standing ovation. His mother Isabel calls Auggie her ""wonder"". The movie ends with a shot of a floating astronaut: Auggie's goal in life."
2017,Mr. Roosevelt,American,Noël Wells,"Noël Wells (director/screenplay); Noël Wells, Nick Thune, Britt Lower, Danielle Pineda, Andre Hyland, Doug Benson, Armen Weitzman, Sergio Cilli",comedy,https://en.wikipedia.org/wiki/Mr._Roosevelt,"Emily Martin (Noël Wells) returns to her hometown and attempts to come to terms with her past, while staying with her ex-boyfriend (Nick Thune) and his new girlfriend (Britt Lower)."
2017,"Roman J. Israel, Esq.",American,Dan Gilroy,"Dan Gilroy (director/screenplay), Denzel Washington, Colin Farrell, Carmen Ejogo, Shelley Hennig",drama,"https://en.wikipedia.org/wiki/Roman_J._Israel,_Esq.","Roman J. Israel (Denzel Washington) is a lawyer and activist working for a small law firm in Los Angeles. In his two-partner office, Israel is responsible for preparing memos and briefs while William Jackson, the firm's owner and a well-respected professor, focuses on the courtroom appearances that Israel struggles with. Israel has spent years developing a brief that he believes will change the justice system, in the meantime sacrificing a family and a normal life to fight for justice. While Israel is short on interpersonal skills, he is gifted with a phenomenal memory as well as strong personal convictions on the meaning of justice.
Jackson suffers a heart attack and falls into a coma, forcing Israel to make several courtroom appearances in his stead which go poorly. Jackson's niece reveals to Israel that the firm is broke and that Jackson's succession plan leaves George Pierce (Colin Farrell) in charge. Pierce plans to shut the firm down but offers Israel a job at his own much larger firm. Israel rejects this offer out of hand believing that Pierce is simply a greedy, self-obsessed lawyer. While looking for a new job, Israel meets Maya (Carmen Ejogo) during a job interview at a local activist network. The job interview does not go well, but Maya offers him the opportunity to speak at an upcoming meeting she is organizing.
After failing to find employment elsewhere, Israel reluctantly takes a job with Pierce. Israel is a poor fit at the big firm, clashing with the number two partner Jesse Salinas after Israel mockingly laughs at a disparaging joke Salinas makes about battered women. After attempting to interest Pierce in the legal brief he has been preparing to attempt changing the legal system itself, Israel is disappointed when he is instead assigned by Pierce to several clients including Ellerbee, a young man arrested for murder. Ellerbee maintains he did not do it but is willing to testify against the shooter, wanted fugitive Carter Johnson. Israel goes behind Salinas' back to attempt to negotiate a plea deal for Ellerbee with the district attorney but insults her by insinuating her incompetence. No bargain is struck and Ellerbee is murdered before his case goes to trial.
Israel's mishandling of Ellerbee's case leads to trouble for the firm and causes Pierce to berate him for his insubordination. That evening Israel is mugged and beaten by a homeless man. He becomes downcast and starts adopting a new, cynical attitude. Israel contacts relatives of the murdered store clerk for a $100,000 reward for Johnson's location. Spending the money lavishly, Israel indulges in luxuries he had previously eschewed but still finds himself feeling numb. Jackson dies after his extended coma, but Israel is unmoved and refuses to speak at his memorial service, believing that his mentor was truly flawed in thinking the world could be a just place.
Pierce, inspired after hearing positive testimonials from Israel's other clients about his personal touch and honest approach, resolves to reform his firm including a new focus on pro-bono cases. While he is now celebrated at work, Israel's new materialistic outlook prevents him from enjoying this new direction. Maya later calls Israel to ask him out on a date, despite his failed speech. On the date, Maya sincerely shares some of her struggles with idealism and reality only for Israel to crudely dismiss them as irrelevant and attempt to flaunt his wealth in front of her. Pierce offers to work with Israel on the legal brief for plea reform he has been preparing, but Israel is unethusiastic.
Pierce calls Israel to meet a new client with him who is in custody only for Israel to learn that the client is Johnson himself. After Pierce departs, Johnson accuses Israel of turning him in for the reward, divulging privileged communications for personal gain. Having accepted that he will spend the rest of his life in prison, Johnson's only goal is to torment Israel and see that he also ends up behind bars. Confronted by his crime, Israel suffers a breakdown and renounces his greedy, self-centered worldview. After attempting to flee town, Israel reverses course after realizing that he cannot escape his own hypocrisy.
Israel reconciles with Maya and Pierce and tries to motivate them to pursue their inner sense of justice. He reveals that he intends to turn himself in to the police for his crime. While walking to the police precinct to surrender himself, Israel is shot and killed by one of Johnson's henchmen. In the aftermath of Israel's death, Maya is seen to be renewed in her activism efforts, while Pierce files Israel’s massive brief in Federal Court intending to reform plea bargaining after enlisting the help of his firm's employees for the benefit of the larger community."
2017,Coco,American,Lee Unkrich,"Lee Unkrich (director); Adrian Molina (co-director/screenplay); Matthew Aldrich (screenplay); Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Renée Victor, Ana Ofelia Murguia, Edward James Olmos","animation, musical, fantasy, mystery",https://en.wikipedia.org/wiki/Coco_(2017_film),"In Santa Cecilia, Mexico, Imelda Rivera is the wife of a musician, who leaves her and their 3-year-old daughter Coco, to pursue a career in music. When he never returns, Imelda banishes music from her life and that of her family and starts a shoemaking business with her family.
About 96 years later, Imelda's great-great-grandson, 12-year-old Miguel, now lives with Coco and their family. Miguel secretly dreams of becoming a musician like Ernesto de la Cruz, a popular actor and singer of Coco's generation. One day, Miguel inadvertently damages the picture frame holding a photo of Coco with her parents at the center of the family ofrenda and removes the photograph, discovering that his great-great-grandfather (whose face had been torn out) was holding Ernesto's famous guitar.
Concluding that Ernesto is his great-great-grandfather, Miguel leaves to enter a talent show for the Day of the Dead despite the objections of his grandmother Elena. He enters Ernesto's mausoleum and takes his guitar to use in the show, but becomes invisible to everyone in the village plaza. However, he can interact with his Xoloitzcuintli dog Dante and his skeletal dead relatives who are visiting from the Land of the Dead for the holiday. Taking him there, they realize that Imelda cannot visit, as Miguel removed her photo from the ofrenda. Discovering that he is cursed for stealing from the dead, Miguel must return to the Land of the Living before sunrise or he will become one of the dead; to do so, he must receive a blessing from a member of his family using an Aztec marigold petal that can undo the curse placed upon him when he stole Ernesto's guitar. Imelda offers Miguel a blessing, but on the condition that he abandon his musical pursuits when he returns to the Land of the Living. Miguel refuses and attempts to seek Ernesto's blessing.
Miguel encounters Héctor, a down-on-his-luck skeleton who once played music with Ernesto, and offers to help Miguel reach him. In return, Héctor asks Miguel to take his photo back to the Land of the Living so he can visit his daughter before she forgets him and he disappears completely. Upon learning he has other relatives, however, Héctor attempts to return Miguel to them, but Miguel escapes and infiltrates Ernesto's mansion, learning along the way that an old friendship between the two deteriorated before Héctor's death. Ernesto welcomes Miguel as his descendant, but Héctor confronts them, imploring Miguel to take his photo to the Land of the Living. After an argument between Ernesto and Héctor, Miguel soon realizes that Ernesto murdered Héctor using a poisoned drink and stole the songs Héctor had written, passing them off as his own to become famous.
To maintain his legacy, Ernesto steals the photo and has Miguel and Héctor thrown into a cenote pit. Miguel realizes that Héctor is his actual great-great-grandfather and that Coco is Héctor's daughter, the only living person who still remembers him. With the help of Dante – who turns into an alebrije – the dead Riveras find and rescue the duo. Miguel reveals that Héctor's decision to return home to Imelda and Coco resulted in his death, and Imelda and Héctor gradually reconcile. They infiltrate Ernesto's sunrise concert to retrieve Héctor's photo from Ernesto and his crimes are revealed to everyone. Ernesto is crushed by a falling church bell as in his previous life, but Héctor's photo falls into the water and disappears.
As the sun rises, Héctor is in danger of being forgotten by Coco and disappearing. Imelda and Héctor bless Miguel with no conditions attached so he can return to the Land of the Living to try and help Coco remember her father. Miguel plays ""Remember Me"", a song Héctor wrote for her during her childhood. The song revitalizes her memory of Héctor, and she gives Miguel the torn-out piece of the photo from the ofrenda, which shows Héctor's face, and tells her family stories about her father, thus keeping the memory of him alive. Elena reconciles with Miguel, accepting music back into the family.
One year later, Miguel proudly presents the family ofrenda – including the restored photo of Héctor and Imelda – to his new baby sister Socorro as Elena adds a photo of the now-deceased Coco. Letters kept by Coco contain evidence that Ernesto stole Héctor's songs. As a result, Ernesto's legacy is destroyed, and the community honors Héctor instead. In the Land of the Dead, Héctor and Imelda join Coco for a visit to the living Riveras as Miguel sings and plays for his dead and living relatives."
2017,Darkest Hour,American,Joe Wright,"Joe Wright (director); Anthony McCarten (screenplay); Gary Oldman, Ben Mendelsohn, Kristin Scott Thomas, Lily James, Stephen Dillane, Ronald Pickup","biography, war, drama",https://en.wikipedia.org/wiki/Darkest_Hour_(film),"In May 1940, the opposition Labour Party in Parliament demands the resignation of British Prime Minister Neville Chamberlain for being too weak in the face of the Nazi onslaught. Chamberlain tells Conservative Party advisers that he wants Lord Halifax as his successor, but Halifax does not want to become Prime Minister yet. Chamberlain must choose the only other man whom other parties will support: Winston Churchill, the First Lord of the Admiralty.
Churchill tries to dismiss his new secretary Elizabeth Layton for mis-hearing him, which earns him a rebuke from his wife Clementine. King George VI reluctantly invites Churchill to form a government including Chamberlain and Halifax.
Although he was right about the danger from Adolf Hitler, Churchill has a poor reputation because of his record in the Admiralty, the Gallipoli Campaign in the First World War, his views on India and his support for Edward VIII during the Abdication Crisis. Parliament reacts coolly to Churchill's first speech promising ""Blood, toil, tears and sweat,"" for which he is chastised by the King. Churchill refuses to negotiate for peace, believing that the Germans are untrustworthy, but the French Prime Minister thinks him delusional for not admitting that the Allies are losing the Battle of France. Halifax and Chamberlain agree, keen to use Italian Ambassador Giuseppe Bastianini as intermediary to negotiate with Germany. They plan to resign from the government if Churchill refuses, to cause a vote of no confidence that will allow Halifax to become Prime Minister.
The British Expeditionary Force is trapped at Dunkirk and Calais. Against the advice of the War Cabinet, Churchill orders Brigadier Claude Nicholson in Calais to lead the 30th Infantry Brigade in a suicide attack to distract the enemy while the soldiers at Dunkirk evacuate.
Defeat in France causes the War Cabinet to support negotiating with Germany. George VI unexpectedly visits Churchill; the King, not wanting to rule in exile should Britain be invaded, encourages the Prime Minister to continue the war. Still uncertain of what to do, Churchill decides to ask London Underground passengers; the civilians want to continue to fight. Churchill meets with the Outer Cabinet[11] and other members of Parliament, who also support him. The evacuation of troops from Dunkirk, Operation Dynamo, is successful.
As Churchill prepares to address Parliament, Halifax asks Chamberlain to continue with their plan to resign, but Chamberlain decides to listen to the address first. Towards the end of his speech, Churchill proclaims that ""We shall fight on the beaches"" should the Germans invade. Chamberlain decides to support Churchill, and Parliament applauds the Prime Minister's defiance."
2017,Call Me by Your Name,American,Luca Guadagnino,"Luca Guadagnino (director); James Ivory (screenplay);Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar, Esther Garrel, Victoire Du Bois",drama,https://en.wikipedia.org/wiki/Call_Me_by_Your_Name_(film),"Elio, a 17-year-old Jewish-American-Italian youth, lives with his parents in rural Northern Italy. His father, a professor of archaeology, invites a 24-year-old Jewish-American graduate student, Oliver, to live with him and his family over the summer and help with his academic paperwork. Elio, an introspective bibliophile and musical prodigy, initially finds little in common with Oliver, who has a contrastingly carefree and exuberant personality. Elio resents having to give up his bedroom for Oliver for the duration of his stay. He spends much of the summer reading, playing piano, and hanging out with his girlfriend, Marzia. Oliver is meanwhile attracted to one of the local girls, much to Elio's annoyance.
Elio and Oliver begin a seductive courtship: they swim together, go for long walks into town, and accompany Elio's father on an archaeological trip. Elio begins a sexual relationship with Marzia and brags about it in front of Oliver to gauge his reaction, but nonetheless finds himself increasingly attracted to Oliver. He sneaks into Oliver's room to smell his bathing suit, and thinks about him while masturbating. During a trip to the post office, Elio confesses his feelings to Oliver, who tells him he should not act on them. Later that day, Elio and Oliver kiss, but Oliver is reluctant to go any further. The two grow distant.
In response to a note from Elio, Oliver leaves a note on Elio's desk telling Elio to meet him at midnight. Elio spends the day with Marzia but longs to see Oliver. At midnight, he approaches Oliver and they have sex. They become more physically and emotionally intimate over the next few days, having sex frequently while keeping their relationship secret. Smitten with Oliver by this point, Elio starts avoiding Marzia.
As the end of Oliver's stay approaches, the couple find themselves overcome by uncertainty and longing. Elio's parents, who are aware of the bond between the two, recommend they visit Bergamo together before Oliver returns to the United States. After spending three romantic days together, Elio, heartbroken, calls his mother and asks her to pick him up and take him home. Marzia, who still wants to be friends with Elio, is sympathetic; his father, seeing Elio's sadness, tells him he was aware of their relationship, confesses to almost having had a similar relationship in his own youth, and urges Elio to find pleasure in his grief.
During Hanukkah, Oliver telephones Elio and his family to tell them he is engaged to be married. Oliver tells Elio he ""remembers everything"" very clearly. After the call, Elio sits by the fireplace, distraught, as his parents and the house staff prepare a holiday dinner."
2017,The Disaster Artist,American,James Franco,"James Franco (director); Scott Neustadter, Michael H. Weber (screenplay); James Franco, Dave Franco, Seth Rogen, Alison Brie, Ari Graynor, Josh Hutcherson, Jacki Weaver","biography, comedy, drama",https://en.wikipedia.org/wiki/The_Disaster_Artist_(film),"San Francisco, 1998: 19-year-old Greg Sestero meets Tommy Wiseau in acting classes with Jean Shelton. Shelton criticizes Tommy's protracted performance of a scene from A Streetcar Named Desire, but Greg is impressed by Tommy's fearlessness and the two become friends. On Tommy's suggestion, they move to Los Angeles to pursue acting careers. Sestero discovers that Wiseau can afford apartments in both San Francisco and Los Angeles, but Wiseau will not discuss his personal life nor the source of his wealth.
Greg signs with Iris Burton, a talent agent, while Tommy faces rejection from agencies, casting directors, and Hollywood insiders. Greg develops a relationship with Amber, whom he meets at her job at a nightclub, and Tommy grows jealous; as he fails to find work, he becomes disheartened. As Greg's auditions also dry up, he shares his frustrations with Tommy, who decides to make a movie for them both to star in.
Tommy writes a screenplay titled The Room, a melodrama about a love triangle between banker Johnny (played by Tommy), his fiancée Lisa and his best friend Mark. Greg reluctantly accepts the role of Mark and an associate producer credit. They rent out a production house; Tommy insists on buying all the production equipment and shooting the film on 35 mm film and HD Digital simultaneously, costly and unnecessary measures. The employees introduce Tommy to Raphael Smadja and Sandy Schklair, who work as his cinematographer and script supervisor respectively.
Production starts smoothly, but Tommy is difficult to work with. He forgets his lines, arrives late, and refuses to supply his crew with basic needs such as drinking water, even as an actor faints. During preparation for a sex scene, Tommy humiliates actress Juliette Danielle by pointing out her acne to the crew. Having filmed extensive behind-the-scenes footage, Tommy reveals that he knows everybody hates him, and believes that nobody, including Greg, supports his vision.
Greg and Amber run into Malcolm in the Middle star Bryan Cranston, who invites Greg to fill in for a small lumberjack part in a Malcolm episode. The part requires a beard; as Greg is due to shave his beard for The Room, he begs Tommy to postpone shooting, but Tommy refuses. On the last day of shooting, Greg accuses Tommy of being selfish and duplicitous throughout their friendship, and questions his real age and origins, before storming off set.
Eight months later, Amber and Greg have split up and Greg is working in theatre. Tommy invites Greg to the premiere of The Room; to his surprise, the entire cast and crew attend. The audience react first with horror then laughter at the film. Tommy bursts into tears and walks out, but Greg comforts him, telling him they have delighted the audience, not angered them. With a renewed mindset, Tommy returns to the theater as the credits roll, takes credit for his ""comedic"" movie, and receives a standing ovation.
Real-life clips of Wiseau attending screenings of The Room play, and title cards explain that the film made $1,800 against its reported $6 million budget during its initial release (Wiseau kept it running for two weeks, allegedly to qualify for the Academy Awards), but it has since become a profitable cult film. Wiseau and Sestero remain friends and, to this day, Wiseau's age, past life and source of income remain a mystery. Scenes from The Room are then compared side-by-side with reenactments of the scenes performed by The Disaster Artist's cast.
In a post-credits scene, Wiseau has an odd verbal exchange with a party goer (played by the real Wiseau), who offers to hang out, but Wiseau refuses."
